riverSection,nameRS,compartment,compType,depth_m,length_m,volume_m3,width_m,G,T_K,vFlow_m_s,SPM_mgL
0,RS0,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
0,RS0,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
0,RS0,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
0,RS0,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
1,RS1,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
1,RS1,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
1,RS1,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
1,RS1,4,sediment,0.02,1000,2700,270,10,284.45,0,30
2,RS2,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
2,RS2,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
2,RS2,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
2,RS2,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
3,RS3,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
3,RS3,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
3,RS3,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
3,RS3,4,sediment,0.02,1000,2700,270,10,284.45,0,30
4,RS4,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
4,RS4,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
4,RS4,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
4,RS4,4,sediment,0.02,1000,2700,270,10,284.45,0,30
5,RS5,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
5,RS5,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
5,RS5,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
5,RS5,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
6,RS6,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
6,RS6,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
6,RS6,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
6,RS6,4,sediment,0.02,1000,2700,270,10,284.45,0,30
7,RS7,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
7,RS7,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
7,RS7,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
7,RS7,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
8,RS8,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
8,RS8,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
8,RS8,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
8,RS8,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
9,RS9,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
9,RS9,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
9,RS9,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
9,RS9,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
10,RS10,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
10,RS10,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
10,RS10,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
10,RS10,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
11,RS11,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
11,RS11,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
11,RS11,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
11,RS11,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
12,RS12,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
12,RS12,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
12,RS12,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
12,RS12,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
13,RS13,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
13,RS13,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
13,RS13,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
13,RS13,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
14,RS14,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
14,RS14,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
14,RS14,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
14,RS14,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
15,RS15,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
15,RS15,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
15,RS15,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
15,RS15,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
16,RS16,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
16,RS16,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
16,RS16,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
16,RS16,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
17,RS17,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
17,RS17,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
17,RS17,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
17,RS17,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
18,RS18,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
18,RS18,2,flowingWater,13.59,1000,1834650,270,10,284.45,0.45,30
18,RS18,3,stagnantWater,1.51,1000,203850,270,10,284.45,0,30
18,RS18,4,sediment,0.02,1000, 2700,270,10,284.45,0,30
19,RS19,1,surface,0.1,1000,13500,270,10,284.45,0.45,30     
